dt,Q
2016-04-01 00:00:00,4.878
2016-04-01 01:00:00,4.925
2016-04-01 02:00:00,4.996
2016-04-01 03:00:00,5.066
2016-04-01 04:00:00,5.140
2016-04-01 05:00:00,5.219
2016-04-01 06:00:00,5.300
2016-04-01 07:00:00,5.382
2016-04-01 08:00:00,5.463
2016-04-01 09:00:00,5.541
2016-04-01 10:00:00,5.615
2016-04-01 11:00:00,5.685
2016-04-01 12:00:00,5.753
2016-04-01 13:00:00,5.815
2016-04-01 14:00:00,5.866
2016-04-01 15:00:00,5.908
2016-04-01 16:00:00,5.940
2016-04-01 17:00:00,5.965
2016-04-01 18:00:00,5.981
2016-04-01 19:00:00,5.992
2016-04-01 20:00:00,5.999
2016-04-01 21:00:00,6.003
2016-04-01 22:00:00,6.006
2016-04-01 23:00:00,6.008
2016-04-02 00:00:00,6.010
2016-04-02 01:00:00,6.011
2016-04-02 02:00:00,6.011
2016-04-02 03:00:00,6.011
2016-04-02 04:00:00,6.010
2016-04-02 05:00:00,6.009
2016-04-02 06:00:00,6.006
2016-04-02 07:00:00,6.002
2016-04-02 08:00:00,5.997
2016-04-02 09:00:00,5.991
2016-04-02 10:00:00,5.984
2016-04-02 11:00:00,5.980
2016-04-02 12:00:00,5.976
2016-04-02 13:00:00,5.972
2016-04-02 14:00:00,5.968
2016-04-02 15:00:00,5.964
2016-04-02 16:00:00,5.961
2016-04-02 17:00:00,5.958
2016-04-02 18:00:00,5.956
2016-04-02 19:00:00,5.956
2016-04-02 20:00:00,5.957
2016-04-02 21:00:00,5.960
2016-04-02 22:00:00,5.964
2016-04-02 23:00:00,5.969
2016-04-03 00:00:00,5.976
2016-04-03 01:00:00,5.983
2016-04-03 02:00:00,5.990
2016-04-03 03:00:00,5.998
2016-04-03 04:00:00,6.005
2016-04-03 05:00:00,6.012
2016-04-03 06:00:00,6.017
2016-04-03 07:00:00,6.020
2016-04-03 08:00:00,6.021
2016-04-03 09:00:00,6.020
2016-04-03 10:00:00,6.017
2016-04-03 11:00:00,6.011
2016-04-03 12:00:00,6.003
2016-04-03 13:00:00,5.993
2016-04-03 14:00:00,5.981
2016-04-03 15:00:00,5.968
2016-04-03 16:00:00,5.954
2016-04-03 17:00:00,5.940
2016-04-03 18:00:00,5.926
2016-04-03 19:00:00,5.913
2016-04-03 20:00:00,5.900
2016-04-03 21:00:00,5.888
2016-04-03 22:00:00,5.877
2016-04-03 23:00:00,5.868
2016-04-04 00:00:00,5.860
2016-04-04 01:00:00,5.854
2016-04-04 02:00:00,5.848
2016-04-04 03:00:00,5.844
2016-04-04 04:00:00,5.840
2016-04-04 05:00:00,5.836
2016-04-04 06:00:00,5.833
2016-04-04 07:00:00,5.830
2016-04-04 08:00:00,5.826
2016-04-04 09:00:00,5.823
2016-04-04 10:00:00,5.819
2016-04-04 11:00:00,5.814
2016-04-04 12:00:00,5.810
2016-04-04 13:00:00,5.805
2016-04-04 14:00:00,5.799
2016-04-04 15:00:00,5.794
2016-04-04 16:00:00,5.789
2016-04-04 17:00:00,5.784
2016-04-04 18:00:00,5.779
2016-04-04 19:00:00,5.774
2016-04-04 20:00:00,5.770
2016-04-04 21:00:00,5.766
2016-04-04 22:00:00,5.762
2016-04-04 23:00:00,5.759
2016-04-05 00:00:00,5.756
2016-04-05 01:00:00,5.753
2016-04-05 02:00:00,5.751
2016-04-05 03:00:00,5.749
2016-04-05 04:00:00,5.747
2016-04-05 05:00:00,5.745
2016-04-05 06:00:00,5.744
2016-04-05 07:00:00,5.743
2016-04-05 08:00:00,5.742
2016-04-05 09:00:00,5.741
2016-04-05 10:00:00,5.740
2016-04-05 11:00:00,5.739
2016-04-05 12:00:00,5.739
2016-04-05 13:00:00,5.738
2016-04-05 14:00:00,5.737
2016-04-05 15:00:00,5.737
2016-04-05 16:00:00,5.736
2016-04-05 17:00:00,5.737
2016-04-05 18:00:00,5.737
2016-04-05 19:00:00,5.742
2016-04-05 20:00:00,5.750
2016-04-05 21:00:00,5.758
2016-04-05 22:00:00,5.765
2016-04-05 23:00:00,5.772
2016-04-06 00:00:00,5.778
2016-04-06 01:00:00,5.786
2016-04-06 02:00:00,5.794
2016-04-06 03:00:00,5.803
2016-04-06 04:00:00,5.812
2016-04-06 05:00:00,5.823
2016-04-06 06:00:00,5.834
2016-04-06 07:00:00,5.845
2016-04-06 08:00:00,5.858
2016-04-06 09:00:00,5.869
2016-04-06 10:00:00,5.879
2016-04-06 11:00:00,5.891
2016-04-06 12:00:00,5.901
2016-04-06 13:00:00,5.909
2016-04-06 14:00:00,5.915
2016-04-06 15:00:00,5.919
2016-04-06 16:00:00,5.923
2016-04-06 17:00:00,5.926
2016-04-06 18:00:00,5.928
2016-04-06 19:00:00,5.931
2016-04-06 20:00:00,5.932
2016-04-06 21:00:00,5.933
2016-04-06 22:00:00,5.934
2016-04-06 23:00:00,5.935
2016-04-07 00:00:00,5.936
2016-04-07 01:00:00,5.936
2016-04-07 02:00:00,5.938
2016-04-07 03:00:00,5.940
2016-04-07 04:00:00,5.942
2016-04-07 05:00:00,5.945
2016-04-07 06:00:00,5.948
2016-04-07 07:00:00,5.952
2016-04-07 08:00:00,5.956
2016-04-07 09:00:00,5.961
2016-04-07 10:00:00,5.966
2016-04-07 11:00:00,5.971
2016-04-07 12:00:00,5.975
2016-04-07 13:00:00,5.979
2016-04-07 14:00:00,5.983
2016-04-07 15:00:00,5.985
2016-04-07 16:00:00,5.987
2016-04-07 17:00:00,5.987
2016-04-07 18:00:00,5.986
2016-04-07 19:00:00,5.984
2016-04-07 20:00:00,5.980
2016-04-07 21:00:00,5.975
2016-04-07 22:00:00,5.969
2016-04-07 23:00:00,5.963
2016-04-08 00:00:00,5.956
2016-04-08 01:00:00,5.948
2016-04-08 02:00:00,5.939
2016-04-08 03:00:00,5.931
2016-04-08 04:00:00,5.925
2016-04-08 05:00:00,5.920
2016-04-08 06:00:00,5.916
2016-04-08 07:00:00,5.911
2016-04-08 08:00:00,5.905
