Q,dt
74.5000,2016-04-01 00:00
74.4000,2016-04-01 01:00
74.3000,2016-04-01 02:00
74.2000,2016-04-01 03:00
74.1000,2016-04-01 04:00
73.9000,2016-04-01 05:00
73.6000,2016-04-01 06:00
73.3000,2016-04-01 07:00
73.0000,2016-04-01 08:00
72.5000,2016-04-01 09:00
72.1000,2016-04-01 10:00
71.6000,2016-04-01 11:00
71.1000,2016-04-01 12:00
70.5000,2016-04-01 13:00
69.9000,2016-04-01 14:00
69.3000,2016-04-01 15:00
68.7000,2016-04-01 16:00
68.0000,2016-04-01 17:00
67.3000,2016-04-01 18:00
66.5000,2016-04-01 19:00
65.8000,2016-04-01 20:00
64.9000,2016-04-01 21:00
64.1000,2016-04-01 22:00
63.2000,2016-04-01 23:00
62.3000,2016-04-02 00:00
61.3000,2016-04-02 01:00
60.3000,2016-04-02 02:00
59.3000,2016-04-02 03:00
58.3000,2016-04-02 04:00
57.2000,2016-04-02 05:00
56.2000,2016-04-02 06:00
55.1000,2016-04-02 07:00
54.1000,2016-04-02 08:00
53.0000,2016-04-02 09:00
52.0000,2016-04-02 10:00
51.0000,2016-04-02 11:00
50.0000,2016-04-02 12:00
49.1000,2016-04-02 13:00
48.1000,2016-04-02 14:00
47.2000,2016-04-02 15:00
46.2000,2016-04-02 16:00
45.3000,2016-04-02 17:00
44.4000,2016-04-02 18:00
43.5000,2016-04-02 19:00
42.6000,2016-04-02 20:00
41.8000,2016-04-02 21:00
40.9000,2016-04-02 22:00
40.1000,2016-04-02 23:00
39.3000,2016-04-03 00:00
38.5000,2016-04-03 01:00
37.7000,2016-04-03 02:00
36.9000,2016-04-03 03:00
36.2000,2016-04-03 04:00
35.4467,2016-04-03 05:00
34.7000,2016-04-03 06:00
34.0000,2016-04-03 07:00
33.3000,2016-04-03 08:00
32.7000,2016-04-03 09:00
32.0000,2016-04-03 10:00
31.3000,2016-04-03 11:00
30.7000,2016-04-03 12:00
30.1000,2016-04-03 13:00
29.4000,2016-04-03 14:00
28.8000,2016-04-03 15:00
28.2000,2016-04-03 16:00
27.6000,2016-04-03 17:00
27.1000,2016-04-03 18:00
26.5000,2016-04-03 19:00
25.9067,2016-04-03 20:00
25.4000,2016-04-03 21:00
24.9000,2016-04-03 22:00
24.4000,2016-04-03 23:00
23.8267,2016-04-04 00:00
23.4000,2016-04-04 01:00
22.9000,2016-04-04 02:00
22.4000,2016-04-04 03:00
22.0000,2016-04-04 04:00
21.5000,2016-04-04 05:00
21.1000,2016-04-04 06:00
20.7000,2016-04-04 07:00
20.3000,2016-04-04 08:00
19.9000,2016-04-04 09:00
19.6000,2016-04-04 10:00
19.2000,2016-04-04 11:00
18.9000,2016-04-04 12:00
18.6000,2016-04-04 13:00
18.2733,2016-04-04 14:00
18.0000,2016-04-04 15:00
17.7000,2016-04-04 16:00
17.4000,2016-04-04 17:00
17.2000,2016-04-04 18:00
16.9000,2016-04-04 19:00
16.7000,2016-04-04 20:00
16.5000,2016-04-04 21:00
16.3000,2016-04-04 22:00
16.1000,2016-04-04 23:00
15.9000,2016-04-05 00:00
15.8000,2016-04-05 01:00
15.6000,2016-04-05 02:00
15.5000,2016-04-05 03:00
15.3000,2016-04-05 04:00
15.2000,2016-04-05 05:00
15.1000,2016-04-05 06:00
15.0000,2016-04-05 07:00
14.9000,2016-04-05 08:00
14.8000,2016-04-05 09:00
14.7000,2016-04-05 10:00
14.6000,2016-04-05 11:00
14.5133,2016-04-05 12:00
14.4733,2016-04-05 13:00
14.4000,2016-04-05 14:00
14.3333,2016-04-05 15:00
14.3000,2016-04-05 16:00
14.2333,2016-04-05 17:00
14.2000,2016-04-05 18:00
14.1700,2016-04-05 19:00
14.1367,2016-04-05 20:00
14.1133,2016-04-05 21:00
14.1133,2016-04-05 22:00
14.1033,2016-04-05 23:00
14.0933,2016-04-06 00:00
14.0900,2016-04-06 01:00
14.0967,2016-04-06 02:00
14.1000,2016-04-06 03:00
14.1067,2016-04-06 04:00
14.1167,2016-04-06 05:00
14.1333,2016-04-06 06:00
14.1433,2016-04-06 07:00
14.1733,2016-04-06 08:00
14.1933,2016-04-06 09:00
14.2133,2016-04-06 10:00
14.2400,2016-04-06 11:00
14.3033,2016-04-06 12:00
14.3333,2016-04-06 13:00
14.3900,2016-04-06 14:00
14.4500,2016-04-06 15:00
14.5033,2016-04-06 16:00
14.5667,2016-04-06 17:00
14.6333,2016-04-06 18:00
14.6867,2016-04-06 19:00
14.7500,2016-04-06 20:00
14.8067,2016-04-06 21:00
14.8633,2016-04-06 22:00
14.9300,2016-04-06 23:00
14.9900,2016-04-07 00:00
15.0333,2016-04-07 01:00
15.0867,2016-04-07 02:00
15.1533,2016-04-07 03:00
15.1867,2016-04-07 04:00
15.2400,2016-04-07 05:00
15.2700,2016-04-07 06:00
15.3000,2016-04-07 07:00
15.3300,2016-04-07 08:00
15.3533,2016-04-07 09:00
15.3767,2016-04-07 10:00
15.3967,2016-04-07 11:00
15.4133,2016-04-07 12:00
15.4200,2016-04-07 13:00
15.4233,2016-04-07 14:00
15.4267,2016-04-07 15:00
15.4300,2016-04-07 16:00
15.4333,2016-04-07 17:00
15.4200,2016-04-07 18:00
15.4200,2016-04-07 19:00
15.4100,2016-04-07 20:00
15.3967,2016-04-07 21:00
15.3800,2016-04-07 22:00
15.3500,2016-04-07 23:00
15.3167,2016-04-08 00:00
15.2967,2016-04-08 01:00
15.2633,2016-04-08 02:00
15.2300,2016-04-08 03:00
15.1900,2016-04-08 04:00
15.1767,2016-04-08 05:00
15.1333,2016-04-08 06:00
15.1000,2016-04-08 07:00
15.0800,2016-04-08 08:00
15.0667,2016-04-08 09:00
15.0300,2016-04-08 10:00
15.0100,2016-04-08 11:00
14.9733,2016-04-08 12:00
14.9500,2016-04-08 13:00
14.9300,2016-04-08 14:00
14.9167,2016-04-08 15:00
14.9200,2016-04-08 16:00
14.9033,2016-04-08 17:00
14.8933,2016-04-08 18:00
14.8800,2016-04-08 19:00
14.8800,2016-04-08 20:00
14.8767,2016-04-08 21:00
14.8867,2016-04-08 22:00
14.8867,2016-04-08 23:00
14.8933,2016-04-09 00:00
14.9000,2016-04-09 01:00
14.9133,2016-04-09 02:00
14.9367,2016-04-09 03:00
14.9433,2016-04-09 04:00
14.9500,2016-04-09 05:00
14.9533,2016-04-09 06:00
14.9633,2016-04-09 07:00
14.9700,2016-04-09 08:00
14.9767,2016-04-09 09:00
14.9800,2016-04-09 10:00
14.9833,2016-04-09 11:00
14.9833,2016-04-09 12:00
14.9900,2016-04-09 13:00
14.9867,2016-04-09 14:00
14.9833,2016-04-09 15:00
14.9800,2016-04-09 16:00
14.9700,2016-04-09 17:00
14.9567,2016-04-09 18:00
14.9533,2016-04-09 19:00
14.9367,2016-04-09 20:00
14.9333,2016-04-09 21:00
14.9067,2016-04-09 22:00
14.8933,2016-04-09 23:00
14.8700,2016-04-10 00:00
14.8567,2016-04-10 01:00
