dt,Q
2017-04-01 00:00:00,34.212
2017-04-01 01:00:00,34.276
2017-04-01 02:00:00,34.172
2017-04-01 03:00:00,33.990
2017-04-01 04:00:00,33.797
2017-04-01 05:00:00,33.566
2017-04-01 06:00:00,33.281
2017-04-01 07:00:00,32.949
2017-04-01 08:00:00,32.587
2017-04-01 09:00:00,32.217
2017-04-01 10:00:00,31.854
2017-04-01 11:00:00,31.507
2017-04-01 12:00:00,31.178
2017-04-01 13:00:00,30.861
2017-04-01 14:00:00,30.551
2017-04-01 15:00:00,30.243
2017-04-01 16:00:00,29.931
2017-04-01 17:00:00,29.615
2017-04-01 18:00:00,29.294
2017-04-01 19:00:00,28.971
2017-04-01 20:00:00,28.652
2017-04-01 21:00:00,28.345
2017-04-01 22:00:00,28.060
2017-04-01 23:00:00,27.805
2017-04-02 00:00:00,27.587
2017-04-02 01:00:00,27.408
2017-04-02 02:00:00,27.270
2017-04-02 03:00:00,27.168
2017-04-02 04:00:00,27.098
2017-04-02 05:00:00,27.052
2017-04-02 06:00:00,27.022
2017-04-02 07:00:00,27.002
2017-04-02 08:00:00,26.987
2017-04-02 09:00:00,26.976
2017-04-02 10:00:00,26.966
2017-04-02 11:00:00,26.955
2017-04-02 12:00:00,26.945
2017-04-02 13:00:00,26.935
2017-04-02 14:00:00,26.927
2017-04-02 15:00:00,26.921
2017-04-02 16:00:00,26.917
2017-04-02 17:00:00,26.922
2017-04-02 18:00:00,26.933
2017-04-02 19:00:00,26.947
2017-04-02 20:00:00,26.966
2017-04-02 21:00:00,26.989
2017-04-02 22:00:00,27.017
2017-04-02 23:00:00,27.051
2017-04-03 00:00:00,27.088
2017-04-03 01:00:00,27.126
2017-04-03 02:00:00,27.165
2017-04-03 03:00:00,27.205
2017-04-03 04:00:00,27.250
2017-04-03 05:00:00,27.300
2017-04-03 06:00:00,27.355
2017-04-03 07:00:00,27.415
2017-04-03 08:00:00,27.482
2017-04-03 09:00:00,27.557
2017-04-03 10:00:00,27.642
2017-04-03 11:00:00,27.739
2017-04-03 12:00:00,27.840
2017-04-03 13:00:00,27.944
2017-04-03 14:00:00,28.057
2017-04-03 15:00:00,28.174
2017-04-03 16:00:00,28.302
2017-04-03 17:00:00,28.469
2017-04-03 18:00:00,28.661
2017-04-03 19:00:00,28.857
2017-04-03 20:00:00,29.045
2017-04-03 21:00:00,29.225
2017-04-03 22:00:00,29.400
2017-04-03 23:00:00,29.575
2017-04-04 00:00:00,29.751
2017-04-04 01:00:00,29.922
2017-04-04 02:00:00,30.084
2017-04-04 03:00:00,30.235
2017-04-04 04:00:00,30.382
2017-04-04 05:00:00,30.540
2017-04-04 06:00:00,30.709
2017-04-04 07:00:00,30.875
2017-04-04 08:00:00,31.031
2017-04-04 09:00:00,31.178
2017-04-04 10:00:00,31.318
2017-04-04 11:00:00,31.458
2017-04-04 12:00:00,31.602
2017-04-04 13:00:00,31.765
2017-04-04 14:00:00,31.948
2017-04-04 15:00:00,32.140
2017-04-04 16:00:00,32.325
2017-04-04 17:00:00,32.497
2017-04-04 18:00:00,32.662
2017-04-04 19:00:00,32.824
2017-04-04 20:00:00,32.985
2017-04-04 21:00:00,33.146
2017-04-04 22:00:00,33.304
2017-04-04 23:00:00,33.458
2017-04-05 00:00:00,33.611
2017-04-05 01:00:00,33.764
2017-04-05 02:00:00,33.914
2017-04-05 03:00:00,34.061
2017-04-05 04:00:00,34.202
2017-04-05 05:00:00,34.332
2017-04-05 06:00:00,34.449
2017-04-05 07:00:00,34.555
2017-04-05 08:00:00,34.648
2017-04-05 09:00:00,34.731
2017-04-05 10:00:00,34.807
2017-04-05 11:00:00,34.878
2017-04-05 12:00:00,34.945
2017-04-05 13:00:00,35.010
2017-04-05 14:00:00,35.074
2017-04-05 15:00:00,35.138
2017-04-05 16:00:00,35.201
2017-04-05 17:00:00,35.266
2017-04-05 18:00:00,35.331
2017-04-05 19:00:00,35.395
2017-04-05 20:00:00,35.461
2017-04-05 21:00:00,35.532
2017-04-05 22:00:00,35.602
2017-04-05 23:00:00,35.670
2017-04-06 00:00:00,35.735
2017-04-06 01:00:00,35.798
2017-04-06 02:00:00,35.859
2017-04-06 03:00:00,35.919
2017-04-06 04:00:00,35.979
2017-04-06 05:00:00,36.039
2017-04-06 06:00:00,36.099
2017-04-06 07:00:00,36.162
2017-04-06 08:00:00,36.227
2017-04-06 09:00:00,36.297
2017-04-06 10:00:00,36.372
2017-04-06 11:00:00,36.455
2017-04-06 12:00:00,36.546
2017-04-06 13:00:00,36.645
2017-04-06 14:00:00,36.752
2017-04-06 15:00:00,36.867
2017-04-06 16:00:00,36.989
2017-04-06 17:00:00,37.115
2017-04-06 18:00:00,37.244
2017-04-06 19:00:00,37.375
2017-04-06 20:00:00,37.503
2017-04-06 21:00:00,37.628
2017-04-06 22:00:00,37.747
2017-04-06 23:00:00,37.859
2017-04-07 00:00:00,37.962
2017-04-07 01:00:00,38.054
2017-04-07 02:00:00,38.136
2017-04-07 03:00:00,38.206
2017-04-07 04:00:00,38.264
2017-04-07 05:00:00,38.311
2017-04-07 06:00:00,38.347
2017-04-07 07:00:00,38.372
2017-04-07 08:00:00,38.386
2017-04-07 09:00:00,38.391
2017-04-07 10:00:00,38.387
2017-04-07 11:00:00,38.374
2017-04-07 12:00:00,38.352
2017-04-07 13:00:00,38.322
2017-04-07 14:00:00,38.284
2017-04-07 15:00:00,38.238
2017-04-07 16:00:00,38.184
2017-04-07 17:00:00,38.122
2017-04-07 18:00:00,38.054
2017-04-07 19:00:00,37.978
2017-04-07 20:00:00,37.896
2017-04-07 21:00:00,37.808
2017-04-07 22:00:00,37.714
2017-04-07 23:00:00,37.615
2017-04-08 00:00:00,37.512
2017-04-08 01:00:00,37.405
2017-04-08 02:00:00,37.294
2017-04-08 03:00:00,37.182
2017-04-08 04:00:00,37.067
2017-04-08 05:00:00,36.951
2017-04-08 06:00:00,36.834
2017-04-08 07:00:00,36.717
2017-04-08 08:00:00,36.599
2017-04-08 09:00:00,36.482
2017-04-08 10:00:00,36.366
2017-04-08 11:00:00,36.250
2017-04-08 12:00:00,36.135
2017-04-08 13:00:00,36.021
2017-04-08 14:00:00,35.908
2017-04-08 15:00:00,35.796
2017-04-08 16:00:00,35.686
2017-04-08 17:00:00,35.577
2017-04-08 18:00:00,35.469
2017-04-08 19:00:00,35.362
2017-04-08 20:00:00,35.257
2017-04-08 21:00:00,35.153
2017-04-08 22:00:00,35.050
2017-04-08 23:00:00,34.949
2017-04-09 00:00:00,34.848
2017-04-09 01:00:00,34.748
2017-04-09 02:00:00,34.649
2017-04-09 03:00:00,34.551
2017-04-09 04:00:00,34.453
2017-04-09 05:00:00,34.355
2017-04-09 06:00:00,34.257
2017-04-09 07:00:00,34.158
2017-04-09 08:00:00,34.060
2017-04-09 09:00:00,33.960
2017-04-09 10:00:00,33.860
2017-04-09 11:00:00,33.759
2017-04-09 12:00:00,33.657
2017-04-09 13:00:00,33.554
2017-04-09 14:00:00,33.450
2017-04-09 15:00:00,33.345
2017-04-09 16:00:00,33.239
2017-04-09 17:00:00,33.132
2017-04-09 18:00:00,33.025
2017-04-09 19:00:00,32.917
2017-04-09 20:00:00,32.809
2017-04-09 21:00:00,32.702
2017-04-09 22:00:00,32.595
2017-04-09 23:00:00,32.489
2017-04-10 00:00:00,32.383
2017-04-10 01:00:00,32.280
2017-04-10 02:00:00,32.178
2017-04-10 03:00:00,32.078
