usgs_id,link_id,stg_action,stg_flood,stg_moderate,stg_major,flw_action,flw_flood,flw_moderate,flw_major
05387440,503998,11,14,16,18,7867.7,12923.4,,
05389000,447887,13.4167,14.4167,17.5833,20.75,7506.83,10219.3,,
05389400,431052,13.3333,14.3333,26.8333,37,,,,
05411600,483619,7,9,11,13,1374.74,2292.47,3523.91,5076.96
05412400,399711,10,12,15,18,2582.73,3777.41,5992.5,10043.8
05418400,314529,13.25,14.25,20,25,6402.13,7576.58,18234.9,
05420680,425748,14,15,16,17,3397.33,5195.68,7561.6,10743.5
05422470,209558,11.4167,12.4167,12.0833,12.5833,,,,
05422600,199722,12.25,13.25,16.0833,18.9167,3682.49,4457.43,7042.19,
05451210,323529,9,,,,2076.27,,,
05451700,270936,12,,,,1510.83,,,
05451900,255051,20,,,,2088.34,,,
05452200,245378,12,,,,1573.22,,,
05453000,230601,23.25,24.25,27.0833,29.9167,4751.49,6263.57,12444.2,
05453520,318208,58,60.8,,63.03,14173.3,20008.3,,24995.9
05454000,227265,11.3333,12.3333,14.25,16.4167,1145.93,1831.49,4181.53,
05454090,230973,9.83333,10.8333,13.0833,15.5833,940.889,1182.8,2817.32,
05454220,226541,15.1667,16.1667,17.9167,20,3048.29,4717.19,,
05454300,226574,15.5833,16.5833,18.0833,19.9167,,,,
05455010,216095,9.16667,10.1667,10.4167,11.3333,,,,
05455100,221500,14.5833,15.5833,17.5833,19.75,3072.4,4397.98,9349.62,
05457505,522792,20,22,24,27,,,,
05458000,509679,8,10,13,15,1647.28,2982.84,5655.54,8060.4
05460400,432794,14.5833,15.5833,21.6667,27,,,,
05463500,323592,13,14,15,19,1864.38,2583.48,3931.95,22194.7
05464220,309414,5.91667,6.91667,10.6667,14.1667,1635.59,2252.29,4732.47,7334.34
05471200,258321,13,,,,4407.45,,,
05473400,114284,24.5,25.5,25.5833,26.3333,,,,
05473450,110818,10.5833,11.5833,16.25,20.4167,1782,2207.61,6335.35,
05476000,555608,10,12,12.5,14,2002.8,3794.21,4107.17,5304.18
05476735,407487,6,,,,328.775,,,
05480820,412870,20.3333,21.3333,23.5833,26.0833,4905.05,5587.01,7266.72,
05481650,378537,17.4167,18.4167,22,25.4167,23750.6,27345.7,38891.5,50834.5
05482300,334282,12,13,,,1946.52,2473.73,,
05483450,279554,20.5,21.5,26.75,31.5,5456.48,6865.86,18433.4,
05484600,197489,39.9167,40.9167,44.4167,47.75,,,,
05484800,217531,10,14,15,17,1855.01,3293.21,3681.75,5379.01
05485605,228998,8.75,9.75,11.6667,13.8333,1263.39,1741.07,2947.33,4830.42
05485640,229021,9,12.5,14,16,1372.87,3316.44,4819.83,7514.49
05487980,132569,22,,,,9101.69,,,
05488200,143605,,21,,,,3865.97,,
06602400,326673,21.4167,22.4167,25.5,28.5833,8966.42,9911.92,13842.9,
06604440,486916,9,10,13,15,1196.23,1617.42,4017.1,7433.11
06808820,216755,21.6667,22.6667,25.75,28.8333,8729.11,10283.2,20597,
06903900,92010,16.25,17.25,19.6667,22.25,3171.43,,,
05452500,318037,13,15,,,4935.64,6947.26,,
05387500,504030,9,12,13,14,9959.16,17578.7,20391.4,23373.3
05388250,504104,11,14,17,19,3684.94,8284.05,14450.7,19793.5
05411850,434365,10,13,15,17,3693.69,7817.89,11591.3,18112.1
05412020,434478,10,12,16,20,4505.48,7382.06,13268.7,20538.5
05412500,434514,14,17,20,23,7844.06,12037.1,16877.4,22311.4
05416900,368221,12,14,17,20,3283.69,4976.7,9071.02,14757.6
05418500,285449,23,24,26,28.5,12727.1,14287.4,17652.6,22511.5
05421000,425876,10,12,13,15,7813.77,11496.9,13433,17401.1
05421740,426049,13,14.5,18,21.5,7035.52,8822.5,14050.7,20343.1
05422000,426239,10,11,11.5,12.5,4711.6,6200.36,7115.15,12362.1
05449500,437890,9,12.5,15,17,1220.16,3467.03,6800.89,
05451500,317905,14,19,23,26,3732,11284.8,,
05453100,318079,13,15,17,19,5054.12,6925.73,12669.4,23809.7
05454500,318225,21,23.5,24.5,26,12294.9,16713.9,18949.6,22554.4
05455500,197256,13,14,16,18,3694.92,4300.99,6000.82,9203.66
05455700,318272,14,15,16.5,18,13167.6,14929.2,18262.2,23143.6
05457700,522855,9,12,15,18,6210.68,9800.58,13729,18051.3
05458300,522951,10,12,17,19,12100,19300,41233.3,50933.3
05458500,522980,10,13,15,18,14181.9,22065.7,29316.9,44640.8
05458900,406874,12,17,18,20,3665.13,13156.4,16001,22738.2
05459500,465190,6,10,14.5,15.5,1707.22,5419.33,9263.72,10155.7
05462000,432886,11,13.5,18,20,5442.89,13631.4,40110,56950.7
05463000,350386,11,12.5,14,15,4267.07,7717.08,13099.8,18055.9
