,id,year,prod,agreementindex,bias,correlationcoefficient,covariance,decomposed_mse,kge,log_p,mae,mse,nashsutcliffe,pbias,rmse,rrmse,rsquared,rsr,volume_error,lid,USGS_id,USGS_name,Area,Slope,t_trav,lat,lon,ifis_id,num_up_gag,nRMSE,nMAE,timing,norm_bias,ppd,peak_qsim,qsim_vol,qobs_vol,pt_change_vol
0,198,2015,Q_assim,0.7787,-0.0922,0.6678,7.1893,8.6362,0.5454,-72.9319,1.9050,8.6362,0.4449,3.7652,2.9387,1.2001,0.4460,0.7451,0.0377,399598,5412340,Volga River at Fayette (05412340),336.6987,0.0547,14.2300,42.8441,-91.8182,524,1,0.0087,0.0057,0.0000,0.0234,-0.5308,22.4533,50478888.0000,48868936.8081,3.2944
1,199,2016,Q_assim,0.8033,-0.0876,0.7354,7.1297,7.3215,0.5402,-34.7837,1.6060,7.3215,0.5281,2.6645,2.7058,0.8230,0.5408,0.6870,0.0266,399598,5412340,Volga River at Fayette (05412340),336.6987,0.0547,14.2300,42.8441,-91.8182,524,1,0.0080,0.0048,0.0000,0.0222,-0.4847,23.7833,46135644.0000,44939884.6443,2.6608
2,1389,2015,Q_ol,0.7543,1.4422,0.9000,49.2515,65.1325,0.2813,-211.9255,2.5926,65.1325,0.5354,-36.7113,8.0705,2.0543,0.8101,0.6816,-0.3671,399598,5412340,Volga River at Fayette (05412340),336.6987,0.0547,14.2300,42.8441,-91.8182,524,1,0.0240,0.0077,2.0000,-0.1218,-0.5587,79.4725,60224026.9673,94085819.2217,-35.9903
3,1390,2016,Q_ol,0.7080,-0.7752,0.6332,5.5955,9.9574,0.3873,-46.9759,2.1188,9.9574,0.3582,23.5774,3.1555,0.9598,0.4010,0.8011,0.2358,399598,5412340,Volga River at Fayette (05412340),336.6987,0.0547,14.2300,42.8441,-91.8182,524,1,0.0094,0.0063,0.0000,0.1968,-0.5123,22.5121,55543025.2082,44939884.6443,23.5941
4,200,2015,Q_assim,0.7971,-2.2616,0.6965,21.3508,23.7317,0.5210,-32.7232,3.8956,23.7317,0.2145,37.0256,4.8715,0.7975,0.4851,0.8863,0.3703,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0054,0.0043,-1.0000,0.4115,-0.2768,30.9233,165688542.0000,120912102.8364,37.0322
5,201,2016,Q_assim,0.9408,-0.6405,0.8882,242.9484,61.6197,0.8752,-21.8338,4.3060,61.6197,0.7709,5.2775,7.8498,0.6468,0.7890,0.4787,0.0528,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0086,0.0047,1.0000,0.0391,-0.0818,228.5467,252811500.0000,240230845.3882,5.2369
6,202,2017,Q_assim,0.9260,-1.7823,0.8646,952.8035,306.1401,0.8175,-54.7742,7.7968,306.1401,0.7393,10.5719,17.4969,1.0378,0.7475,0.5106,0.1057,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0192,0.0086,2.0000,0.0520,-0.1983,442.7000,369807702.0000,334957864.1126,10.4042
7,203,2018,Q_assim,0.9263,0.8562,0.8636,840.9845,269.3665,0.8478,-26.6661,8.1654,269.3665,0.7079,-3.7437,16.4124,0.7176,0.7457,0.5405,-0.0374,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0181,0.0090,2.0000,-0.0282,-0.3736,186.2400,435803064.0000,452742749.0381,-3.7416
8,1404,2010,Q_ol,0.9531,0.7738,0.9408,630.1837,124.6303,0.7610,-21.9423,6.0978,124.6303,0.8562,-4.4943,11.1638,0.6484,0.8851,0.3792,-0.0449,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0123,0.0067,-3.0000,-0.0263,-0.2104,324.1946,346645496.0129,362961247.8237,-4.4952
9,1405,2011,Q_ol,0.7255,-3.0136,0.7866,143.8850,219.5090,-0.3457,-134.6666,5.0412,219.5090,-1.7438,33.2669,14.8158,1.6355,0.6188,1.6564,0.3327,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0163,0.0055,-2.0000,0.3369,1.6498,331.6559,254257244.6890,190752338.6597,33.2918
10,1406,2012,Q_ol,0.8480,0.8638,0.8123,10.3156,7.5472,0.5760,-19.6087,1.6138,7.5472,0.6007,-19.2240,2.7472,0.6114,0.6598,0.6319,-0.1922,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0030,0.0018,0.0000,-0.1987,-0.9728,1.1002,80013741.9653,98530582.4123,-18.7930
11,1407,2013,Q_ol,0.9255,1.2240,0.9159,188.7024,61.0982,0.6746,-27.9286,4.4202,61.0982,0.7902,-11.5094,7.8165,0.7350,0.8388,0.4580,-0.1151,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0086,0.0049,0.0000,-0.0717,-0.4080,85.8268,251389502.5581,316130706.2275,-20.4793
12,1408,2014,Q_ol,0.8901,3.4934,0.9253,258.4237,129.3350,0.4964,-46.7597,4.6644,129.3350,0.7230,-29.4127,11.3726,0.9575,0.8561,0.5263,-0.2941,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0125,0.0051,-1.0000,-0.1617,-0.5581,135.1545,164748762.5616,232933871.9229,-29.2723
13,1409,2015,Q_ol,0.8134,1.8593,0.7944,101.8669,94.7473,0.4862,-65.0720,3.9531,94.7473,0.5701,-21.6364,9.7338,1.1327,0.6310,0.6556,-0.2164,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0107,0.0043,4.0000,-0.1252,-0.4411,112.0572,159629025.6542,203746337.4021,-21.6531
