dt,Q
2016-04-01 00:00:00,10.094
2016-04-01 01:00:00,10.123
2016-04-01 02:00:00,10.115
2016-04-01 03:00:00,10.057
2016-04-01 04:00:00,9.990
2016-04-01 05:00:00,9.940
2016-04-01 06:00:00,9.918
2016-04-01 07:00:00,9.923
2016-04-01 08:00:00,9.944
2016-04-01 09:00:00,9.962
2016-04-01 10:00:00,9.966
2016-04-01 11:00:00,9.953
2016-04-01 12:00:00,9.929
2016-04-01 13:00:00,9.895
2016-04-01 14:00:00,9.854
2016-04-01 15:00:00,9.812
2016-04-01 16:00:00,9.770
2016-04-01 17:00:00,9.734
2016-04-01 18:00:00,9.704
2016-04-01 19:00:00,9.680
2016-04-01 20:00:00,9.662
2016-04-01 21:00:00,9.650
2016-04-01 22:00:00,9.640
2016-04-01 23:00:00,9.633
2016-04-02 00:00:00,9.625
2016-04-02 01:00:00,9.615
2016-04-02 02:00:00,9.603
2016-04-02 03:00:00,9.587
2016-04-02 04:00:00,9.567
2016-04-02 05:00:00,9.544
2016-04-02 06:00:00,9.518
2016-04-02 07:00:00,9.490
2016-04-02 08:00:00,9.461
2016-04-02 09:00:00,9.433
2016-04-02 10:00:00,9.406
2016-04-02 11:00:00,9.382
2016-04-02 12:00:00,9.361
2016-04-02 13:00:00,9.342
2016-04-02 14:00:00,9.324
2016-04-02 15:00:00,9.307
2016-04-02 16:00:00,9.290
2016-04-02 17:00:00,9.273
2016-04-02 18:00:00,9.254
2016-04-02 19:00:00,9.233
2016-04-02 20:00:00,9.209
2016-04-02 21:00:00,9.183
2016-04-02 22:00:00,9.155
2016-04-02 23:00:00,9.126
2016-04-03 00:00:00,9.096
2016-04-03 01:00:00,9.068
2016-04-03 02:00:00,9.041
2016-04-03 03:00:00,9.017
2016-04-03 04:00:00,8.997
2016-04-03 05:00:00,8.982
2016-04-03 06:00:00,8.971
2016-04-03 07:00:00,8.966
2016-04-03 08:00:00,8.965
2016-04-03 09:00:00,8.969
2016-04-03 10:00:00,8.978
2016-04-03 11:00:00,8.989
2016-04-03 12:00:00,9.003
2016-04-03 13:00:00,9.020
2016-04-03 14:00:00,9.037
2016-04-03 15:00:00,9.055
2016-04-03 16:00:00,9.073
2016-04-03 17:00:00,9.091
2016-04-03 18:00:00,9.107
2016-04-03 19:00:00,9.123
2016-04-03 20:00:00,9.137
2016-04-03 21:00:00,9.150
2016-04-03 22:00:00,9.162
2016-04-03 23:00:00,9.173
2016-04-04 00:00:00,9.183
2016-04-04 01:00:00,9.193
2016-04-04 02:00:00,9.203
2016-04-04 03:00:00,9.212
2016-04-04 04:00:00,9.221
2016-04-04 05:00:00,9.231
2016-04-04 06:00:00,9.240
2016-04-04 07:00:00,9.250
2016-04-04 08:00:00,9.260
2016-04-04 09:00:00,9.269
2016-04-04 10:00:00,9.278
2016-04-04 11:00:00,9.287
2016-04-04 12:00:00,9.295
2016-04-04 13:00:00,9.303
2016-04-04 14:00:00,9.310
2016-04-04 15:00:00,9.316
2016-04-04 16:00:00,9.320
2016-04-04 17:00:00,9.324
2016-04-04 18:00:00,9.326
2016-04-04 19:00:00,9.327
2016-04-04 20:00:00,9.326
2016-04-04 21:00:00,9.324
2016-04-04 22:00:00,9.320
2016-04-04 23:00:00,9.314
2016-04-05 00:00:00,9.307
2016-04-05 01:00:00,9.299
2016-04-05 02:00:00,9.289
2016-04-05 03:00:00,9.278
2016-04-05 04:00:00,9.266
2016-04-05 05:00:00,9.253
2016-04-05 06:00:00,9.239
2016-04-05 07:00:00,9.225
2016-04-05 08:00:00,9.211
2016-04-05 09:00:00,9.197
2016-04-05 10:00:00,9.183
2016-04-05 11:00:00,9.169
2016-04-05 12:00:00,9.156
2016-04-05 13:00:00,9.143
2016-04-05 14:00:00,9.131
2016-04-05 15:00:00,9.119
2016-04-05 16:00:00,9.108
2016-04-05 17:00:00,9.098
2016-04-05 18:00:00,9.089
2016-04-05 19:00:00,9.082
2016-04-05 20:00:00,9.078
2016-04-05 21:00:00,9.076
2016-04-05 22:00:00,9.073
2016-04-05 23:00:00,9.070
2016-04-06 00:00:00,9.068
2016-04-06 01:00:00,9.065
2016-04-06 02:00:00,9.063
2016-04-06 03:00:00,9.061
2016-04-06 04:00:00,9.060
2016-04-06 05:00:00,9.060
2016-04-06 06:00:00,9.060
2016-04-06 07:00:00,9.065
2016-04-06 08:00:00,9.082
2016-04-06 09:00:00,9.101
2016-04-06 10:00:00,9.121
2016-04-06 11:00:00,9.138
2016-04-06 12:00:00,9.157
2016-04-06 13:00:00,9.174
2016-04-06 14:00:00,9.192
2016-04-06 15:00:00,9.212
2016-04-06 16:00:00,9.234
2016-04-06 17:00:00,9.256
2016-04-06 18:00:00,9.279
2016-04-06 19:00:00,9.303
2016-04-06 20:00:00,9.325
2016-04-06 21:00:00,9.346
2016-04-06 22:00:00,9.367
2016-04-06 23:00:00,9.386
2016-04-07 00:00:00,9.405
2016-04-07 01:00:00,9.425
2016-04-07 02:00:00,9.446
2016-04-07 03:00:00,9.471
2016-04-07 04:00:00,9.495
2016-04-07 05:00:00,9.517
2016-04-07 06:00:00,9.538
2016-04-07 07:00:00,9.555
2016-04-07 08:00:00,9.569
2016-04-07 09:00:00,9.578
2016-04-07 10:00:00,9.584
2016-04-07 11:00:00,9.586
2016-04-07 12:00:00,9.585
2016-04-07 13:00:00,9.581
2016-04-07 14:00:00,9.575
2016-04-07 15:00:00,9.567
2016-04-07 16:00:00,9.557
2016-04-07 17:00:00,9.547
2016-04-07 18:00:00,9.535
2016-04-07 19:00:00,9.523
2016-04-07 20:00:00,9.512
2016-04-07 21:00:00,9.500
2016-04-07 22:00:00,9.490
2016-04-07 23:00:00,9.480
2016-04-08 00:00:00,9.470
2016-04-08 01:00:00,9.461
2016-04-08 02:00:00,9.453
2016-04-08 03:00:00,9.445
2016-04-08 04:00:00,9.438
2016-04-08 05:00:00,9.433
2016-04-08 06:00:00,9.429
2016-04-08 07:00:00,9.427
2016-04-08 08:00:00,9.424
2016-04-08 09:00:00,9.420
2016-04-08 10:00:00,9.416
2016-04-08 11:00:00,9.410
2016-04-08 12:00:00,9.405
2016-04-08 13:00:00,9.399
2016-04-08 14:00:00,9.394
2016-04-08 15:00:00,9.390
2016-04-08 16:00:00,9.385
2016-04-08 17:00:00,9.380
2016-04-08 18:00:00,9.376
2016-04-08 19:00:00,9.373
2016-04-08 20:00:00,9.374
2016-04-08 21:00:00,9.375
2016-04-08 22:00:00,9.381
2016-04-08 23:00:00,9.388
2016-04-09 00:00:00,9.395
2016-04-09 01:00:00,9.403
2016-04-09 02:00:00,9.410
2016-04-09 03:00:00,9.418
2016-04-09 04:00:00,9.426
2016-04-09 05:00:00,9.435
2016-04-09 06:00:00,9.443
2016-04-09 07:00:00,9.450
2016-04-09 08:00:00,9.455
2016-04-09 09:00:00,9.458
2016-04-09 10:00:00,9.459
2016-04-09 11:00:00,9.457
2016-04-09 12:00:00,9.454
2016-04-09 13:00:00,9.450
2016-04-09 14:00:00,9.445
2016-04-09 15:00:00,9.439
2016-04-09 16:00:00,9.433
2016-04-09 17:00:00,9.426
2016-04-09 18:00:00,9.419
2016-04-09 19:00:00,9.411
2016-04-09 20:00:00,9.402
2016-04-09 21:00:00,9.392
2016-04-09 22:00:00,9.381
2016-04-09 23:00:00,9.369
2016-04-10 00:00:00,9.356
2016-04-10 01:00:00,9.342
2016-04-10 02:00:00,9.328
2016-04-10 03:00:00,9.312
2016-04-10 04:00:00,9.296
2016-04-10 05:00:00,9.279
2016-04-10 06:00:00,9.262
2016-04-10 07:00:00,9.244
2016-04-10 08:00:00,9.227
2016-04-10 09:00:00,9.209
2016-04-10 10:00:00,9.191
2016-04-10 11:00:00,9.175
2016-04-10 12:00:00,9.158
2016-04-10 13:00:00,9.143
2016-04-10 14:00:00,9.128
2016-04-10 15:00:00,9.115
2016-04-10 16:00:00,9.102
2016-04-10 17:00:00,9.091
2016-04-10 18:00:00,9.081
2016-04-10 19:00:00,9.072
2016-04-10 20:00:00,9.068
2016-04-10 21:00:00,9.066
2016-04-10 22:00:00,9.063
2016-04-10 23:00:00,9.061
2016-04-11 00:00:00,9.059
2016-04-11 01:00:00,9.058
2016-04-11 02:00:00,9.058
2016-04-11 03:00:00,9.059
2016-04-11 04:00:00,9.061
2016-04-11 05:00:00,9.064
2016-04-11 06:00:00,9.066
2016-04-11 07:00:00,9.069
2016-04-11 08:00:00,9.072
2016-04-11 09:00:00,9.074
2016-04-11 10:00:00,9.077
2016-04-11 11:00:00,9.080
2016-04-11 12:00:00,9.083
2016-04-11 13:00:00,9.087
2016-04-11 14:00:00,9.090
2016-04-11 15:00:00,9.094
2016-04-11 16:00:00,9.097
2016-04-11 17:00:00,9.100
2016-04-11 18:00:00,9.102
2016-04-11 19:00:00,9.104
2016-04-11 20:00:00,9.104
2016-04-11 21:00:00,9.104
2016-04-11 22:00:00,9.103
2016-04-11 23:00:00,9.100
2016-04-12 00:00:00,9.097
2016-04-12 01:00:00,9.093
2016-04-12 02:00:00,9.088
2016-04-12 03:00:00,9.083
2016-04-12 04:00:00,9.077
2016-04-12 05:00:00,9.071
2016-04-12 06:00:00,9.065
2016-04-12 07:00:00,9.059
2016-04-12 08:00:00,9.053
2016-04-12 09:00:00,9.048
2016-04-12 10:00:00,9.042
2016-04-12 11:00:00,9.037
2016-04-12 12:00:00,9.033
2016-04-12 13:00:00,9.028
2016-04-12 14:00:00,9.024
2016-04-12 15:00:00,9.020
2016-04-12 16:00:00,9.016
2016-04-12 17:00:00,9.012
2016-04-12 18:00:00,9.009
2016-04-12 19:00:00,9.005
2016-04-12 20:00:00,9.001
2016-04-12 21:00:00,8.997
2016-04-12 22:00:00,8.993
2016-04-12 23:00:00,8.989
2016-04-13 00:00:00,8.985
2016-04-13 01:00:00,8.981
2016-04-13 02:00:00,8.977
2016-04-13 03:00:00,8.974
2016-04-13 04:00:00,8.970
2016-04-13 05:00:00,8.967
2016-04-13 06:00:00,8.964
2016-04-13 07:00:00,8.962
2016-04-13 08:00:00,8.960
2016-04-13 09:00:00,8.959
2016-04-13 10:00:00,8.957
2016-04-13 11:00:00,8.957
2016-04-13 12:00:00,8.956
2016-04-13 13:00:00,8.956
2016-04-13 14:00:00,8.957
2016-04-13 15:00:00,8.957
2016-04-13 16:00:00,8.958
2016-04-13 17:00:00,8.958
2016-04-13 18:00:00,8.959
2016-04-13 19:00:00,8.959
2016-04-13 20:00:00,8.960
2016-04-13 21:00:00,8.960
2016-04-13 22:00:00,8.960
2016-04-13 23:00:00,8.959
2016-04-14 00:00:00,8.958
2016-04-14 01:00:00,8.957
2016-04-14 02:00:00,8.955
2016-04-14 03:00:00,8.953
2016-04-14 04:00:00,8.951
2016-04-14 05:00:00,8.948
2016-04-14 06:00:00,8.945
2016-04-14 07:00:00,8.942
2016-04-14 08:00:00,8.938
2016-04-14 09:00:00,8.934
2016-04-14 10:00:00,8.930
2016-04-14 11:00:00,8.925
2016-04-14 12:00:00,8.921
2016-04-14 13:00:00,8.916
2016-04-14 14:00:00,8.912
2016-04-14 15:00:00,8.908
2016-04-14 16:00:00,8.904
2016-04-14 17:00:00,8.899
2016-04-14 18:00:00,8.895
2016-04-14 19:00:00,8.892
2016-04-14 20:00:00,8.888
2016-04-14 21:00:00,8.885
2016-04-14 22:00:00,8.882
2016-04-14 23:00:00,8.879
2016-04-15 00:00:00,8.876
2016-04-15 01:00:00,8.874
2016-04-15 02:00:00,8.872
2016-04-15 03:00:00,8.870
2016-04-15 04:00:00,8.868
2016-04-15 05:00:00,8.866
2016-04-15 06:00:00,8.864
2016-04-15 07:00:00,8.863
2016-04-15 08:00:00,8.861
2016-04-15 09:00:00,8.860
2016-04-15 10:00:00,8.859
2016-04-15 11:00:00,8.858
2016-04-15 12:00:00,8.857
2016-04-15 13:00:00,8.856
2016-04-15 14:00:00,8.855
2016-04-15 15:00:00,8.854
2016-04-15 16:00:00,8.853
2016-04-15 17:00:00,8.852
2016-04-15 18:00:00,8.851
2016-04-15 19:00:00,8.850
2016-04-15 20:00:00,8.849
2016-04-15 21:00:00,8.848
2016-04-15 22:00:00,8.847
2016-04-15 23:00:00,8.846
2016-04-16 00:00:00,8.845
2016-04-16 01:00:00,8.844
2016-04-16 02:00:00,8.843
2016-04-16 03:00:00,8.842
2016-04-16 04:00:00,8.841
2016-04-16 05:00:00,8.840
2016-04-16 06:00:00,8.839
2016-04-16 07:00:00,8.838
2016-04-16 08:00:00,8.837
2016-04-16 09:00:00,8.836
2016-04-16 10:00:00,8.835
2016-04-16 11:00:00,8.834
2016-04-16 12:00:00,8.833
2016-04-16 13:00:00,8.832
2016-04-16 14:00:00,8.831
2016-04-16 15:00:00,8.830
2016-04-16 16:00:00,8.829
2016-04-16 17:00:00,8.828
2016-04-16 18:00:00,8.827
2016-04-16 19:00:00,8.826
2016-04-16 20:00:00,8.825
2016-04-16 21:00:00,8.824
2016-04-16 22:00:00,8.823
2016-04-16 23:00:00,8.822
2016-04-17 00:00:00,8.821
2016-04-17 01:00:00,8.820
2016-04-17 02:00:00,8.819
2016-04-17 03:00:00,8.818
2016-04-17 04:00:00,8.817
2016-04-17 05:00:00,8.816
2016-04-17 06:00:00,8.815
2016-04-17 07:00:00,8.814
2016-04-17 08:00:00,8.813
2016-04-17 09:00:00,8.812
2016-04-17 10:00:00,8.811
2016-04-17 11:00:00,8.810
2016-04-17 12:00:00,8.808
2016-04-17 13:00:00,8.807
2016-04-17 14:00:00,8.806
2016-04-17 15:00:00,8.805
2016-04-17 16:00:00,8.804
2016-04-17 17:00:00,8.803
2016-04-17 18:00:00,8.802
2016-04-17 19:00:00,8.801
2016-04-17 20:00:00,8.800
2016-04-17 21:00:00,8.798
2016-04-17 22:00:00,8.797
2016-04-17 23:00:00,8.796
2016-04-18 00:00:00,8.795
2016-04-18 01:00:00,8.794
2016-04-18 02:00:00,8.793
2016-04-18 03:00:00,8.792
2016-04-18 04:00:00,8.791
2016-04-18 05:00:00,8.789
2016-04-18 06:00:00,8.788
2016-04-18 07:00:00,8.787
2016-04-18 08:00:00,8.786
2016-04-18 09:00:00,8.785
2016-04-18 10:00:00,8.784
2016-04-18 11:00:00,8.782
2016-04-18 12:00:00,8.781
2016-04-18 13:00:00,8.780
2016-04-18 14:00:00,8.779
2016-04-18 15:00:00,8.778
2016-04-18 16:00:00,8.776
2016-04-18 17:00:00,8.775
2016-04-18 18:00:00,8.774
2016-04-18 19:00:00,8.773
2016-04-18 20:00:00,8.772
2016-04-18 21:00:00,8.770
2016-04-18 22:00:00,8.769
2016-04-18 23:00:00,8.768
2016-04-19 00:00:00,8.767
2016-04-19 01:00:00,8.766
2016-04-19 02:00:00,8.764
2016-04-19 03:00:00,8.763
2016-04-19 04:00:00,8.762
2016-04-19 05:00:00,8.763
2016-04-19 06:00:00,8.768
2016-04-19 07:00:00,8.777
2016-04-19 08:00:00,8.786
2016-04-19 09:00:00,8.794
2016-04-19 10:00:00,8.803
2016-04-19 11:00:00,8.810
2016-04-19 12:00:00,8.815
2016-04-19 13:00:00,8.823
2016-04-19 14:00:00,8.834
2016-04-19 15:00:00,8.846
2016-04-19 16:00:00,8.857
2016-04-19 17:00:00,8.869
2016-04-19 18:00:00,8.881
2016-04-19 19:00:00,8.897
2016-04-19 20:00:00,8.917
2016-04-19 21:00:00,8.940
2016-04-19 22:00:00,8.964
2016-04-19 23:00:00,8.989
2016-04-20 00:00:00,9.015
2016-04-20 01:00:00,9.043
2016-04-20 02:00:00,9.073
2016-04-20 03:00:00,9.107
2016-04-20 04:00:00,9.143
2016-04-20 05:00:00,9.180
2016-04-20 06:00:00,9.219
2016-04-20 07:00:00,9.259
2016-04-20 08:00:00,9.298
2016-04-20 09:00:00,9.338
2016-04-20 10:00:00,9.377
2016-04-20 11:00:00,9.416
2016-04-20 12:00:00,9.454
