dt,Q
2017-01-01 00:00 CST,218.04
2017-01-01 00:15 CST,218.04
2017-01-01 00:30 CST,218.04
2017-01-01 00:45 CST,216.34
2017-01-01 01:00 CST,216.91
2017-01-01 01:15 CST,217.47
2017-01-01 01:30 CST,216.91
2017-01-01 01:45 CST,216.91
2017-01-01 02:00 CST,216.91
2017-01-01 02:15 CST,215.49
2017-01-01 02:30 CST,217.47
2017-01-01 02:45 CST,217.47
2017-01-01 03:00 CST,216.34
2017-01-01 03:15 CST,216.91
2017-01-01 03:30 CST,215.49
2017-01-01 03:45 CST,217.47
2017-01-01 04:00 CST,216.91
2017-01-01 04:15 CST,214.92
2017-01-01 04:30 CST,217.47
2017-01-01 04:45 CST,217.47
2017-01-01 05:00 CST,217.47
2017-01-01 05:15 CST,216.91
2017-01-01 05:30 CST,216.91
2017-01-01 05:45 CST,216.91
2017-01-01 06:00 CST,217.47
2017-01-01 06:15 CST,217.47
2017-01-01 06:30 CST,216.91
2017-01-01 06:45 CST,216.91
2017-01-01 07:00 CST,215.49
2017-01-01 07:15 CST,217.47
2017-01-01 07:30 CST,216.91
2017-01-01 07:45 CST,216.34
2017-01-01 08:00 CST,216.91
2017-01-01 08:15 CST,217.47
2017-01-01 08:30 CST,216.34
2017-01-01 08:45 CST,217.47
2017-01-01 09:00 CST,217.47
2017-01-01 09:15 CST,215.49
2017-01-01 09:30 CST,216.91
2017-01-01 09:45 CST,217.47
2017-01-01 10:00 CST,218.61
2017-01-01 10:15 CST,216.34
2017-01-01 10:30 CST,216.34
2017-01-01 10:45 CST,216.91
2017-01-01 11:00 CST,218.61
2017-01-01 11:15 CST,217.47
2017-01-01 11:30 CST,213.23
2017-01-01 11:45 CST,215.49
2017-01-01 12:00 CST,215.49
2017-01-01 12:15 CST,214.92
2017-01-01 12:30 CST,215.49
2017-01-01 12:45 CST,214.92
2017-01-01 13:00 CST,215.49
2017-01-01 13:15 CST,216.91
2017-01-01 13:30 CST,216.34
2017-01-01 13:45 CST,216.91
2017-01-01 14:00 CST,216.34
2017-01-01 14:15 CST,217.47
2017-01-01 14:30 CST,218.04
2017-01-01 14:45 CST,217.47
2017-01-01 15:00 CST,219.17
2017-01-01 15:15 CST,219.17
2017-01-01 15:30 CST,218.61
2017-01-01 15:45 CST,218.61
2017-01-01 16:00 CST,218.61
2017-01-01 16:15 CST,220.02
2017-01-01 16:30 CST,220.59
